#wylie	en
a b+hi la	abhila
a b+hi Shiny+tsa	abhikintsa
a b+hu	abhu
A dz+nyA	ajña
a gasti	agati
a g+ha	agha
a ka ni	akani
a ko	ako
a kro te	akroté
A lo ke	aloké
a mdo	amdo
a mr-i ta	amrita
a mri ta	amrita
a nu rak+to	anurakto
A tsA r+ya	atsarya
A yu She	ayukhé
A yur+dz+N+yA na	ayur jñana
ar+g+haM	argham
aru ta	arbuta
Ar+Ya	arya
ba l-iM ta	balingta
ba liM ta	balingta
ba ling+ta	balingta
badz+ra	vajra
badz+rI	vajri
bai DUr+ya	baidurya
bai ra	baira
ban+d+ha	bendha
bco brgyad	chopgyé
bcom ldan 'das ma	chomdendema
bde 'gro	dendro
bde mchog	demchok
b+ha ba tu	bhavatu
b+ha dra tsar+Ya	bhadratsarya
b+ha ga	bhaga
b+ha ga ba ti	bhagavati
b+ha ga wa ti	bhagavati
b+ha ga wAn	bhagavan
b+ha ling+ta	balingta
b+ha wa	bhava
b+ha ya nan	bhayanen
b+han+d+ha	bhenda
b+han+d+ha re	bhendaré
b+ho d+ha ri	bhodhari
b+h+rUM	dhrum
b+h+rU~M	dhrum
b+hu mi	bhumi
b+hur	bhur
b+hur ku	bhurku
b+hur kur	bhurkur
b+hur tsi	bhurtsi
b+h+yo	jo
b+h+yoH	jo
bi d+haM	bidham
bi dza ya	vijaya
bi ma le	bimalé
bi Sha de	bikadé
bi shwa	bisho
big+h+nAn	bighanen
big+h+nan	bighanen
bkra mi shis pa	tramishipa
bkra shis	tashi
bkris	tashi
bla brang	labrang
bo d+hi	bodhi
bo d+hi tsi t+ta	bodhitsitta
bo d+hi tsit+ta	bodhitsitta
'bras ljongs	drenjong
brdol ba can	dolwa chen
bsam mi khyab	sam mikhyap
bsam mi khyab pa	sam mikhyapa
bshags pa bral	shakpa drel
bud+d+hA	buddha
bud+d+ha	buddha
byin gyis brlab	chingyi lap
byin gyis brlob	chingyi lop
byin gyis rlobs	chingyi lop
bzhi bcu	zhipchu
chab mdo	chamdo
che mchog	chemchok
chos kyi blo gros	chökyi lodrö
ci 'dra	chindra
ci 'dra ba	chindrawa
DA ki nI	dakini
Da ki nI	dakini
'da'aka	daka
Dakaki NI	dakini
DAk+ki	daki
Dak+ki	daki
DAk+ki ni	dakini
Dak+ki ni	dakini
dbang bsgyur ba	wang gyurwa
dbang sgyur ba	wang gyurwa
de bi	devi
