#wylie	en	fr	es	de
a b+hi la	abhila	abhila	abhila	abhila
a b+hi Shiny+tsa	abhikintsa	abhikintsa	abhikintsa	abhikintsa
a b+hu	abhu	abhou	abhu	abhu
A dz+nyA	ajna	ajna	ajña	ajna
a gasti	agati	agati	agati	agati
a g+ha	agha	agha	agha	agha
a ka ni	akani	akani	akani	akani
a ko	ako	ako	ako	ako
a kro te	akroté	akroté	akrote	akrote
a la	a la	a la	a la	a la
A lo ke	aloké	aloké	aloke	aloke
a mdo	amdo	amdo	amdo	amdo
a mr-i ta	amrita	amrita	amrita	amrita
a mri ta	amrita	amrita	amrita	amrita
a mu ka	amuka	amouka	amuka	amuka
a na le	analé	analé	anale	anale
a nu rak+to	anurakto	anourakto	anurakto	anurakto
A tsA r+ya	atsarya	atsarya	atsarya	atsarya
A yu She	ayukhé	ayouk'é	ayukhe	ayukhe
A yur	ayur	ayour	ayur	ayur
A yur+dz+N+yA na	ayur jnana	ayour jnana	ayur jñana	ayur jnana
AH	ah	ah	ah	ah
aH kaH saH maH raH	a ka sa ma ra	a ka sa ma ra	a ka sa ma ra	a ka sa ma ra
ar+g+haM	argham	argham	argham	argham
aru ta	arbuta	arbouta	arbuta	arbuta
Ar+Ya	arya	arya	arya	arya
as ni	eni	éni	eni	eni
as ni pis ni	ené piné	ené piné	ene pine	ene pine
ba l-iM ta	balingta	balingta	balingta	balingta
ba liM ta	balingta	balingta	balingta	balingta
ba ling+ta	balingta	balingta	balingta	balingta
badz+ra	benza	benza	benza	benza
badz+rI	benzi	benzi	benzi	benzi
bai DUr+ya	baidurya	baidourya	baidurya	baidurya
bai ra	baira	baira	baira	baira
ban+d+ha	bendha	bendha	bendha	bendha
bco brgyad	chobgyé	chobgyé	chobgye	chobgye
bcom ldan 'das ma	chomden dema	chomden déma	chomden dema	chomden dema
bde 'gro	dendro	dendro	dendro	dendro
bde mchog	demchok	demchok	demchok	demchok
b+ha ba tu	bhavatu	bhavatou	bhavatu	bhavatu
b+ha dra tsar+Ya	bhadratsarya	bhadratsarya	bhadratsarya	bhadratsarya
b+ha ga	bhaga	bhaga	bhaga	bhaga
b+ha ga ba ti	bhagavati	bhagavati	bhagavati	bhagavati
b+ha ga wa ti	bhagavati	bhagavati	bhagavati	bhagavati
b+ha ga wAn	bhagavan	bhagavan	bhagavan	bhagavan
